author_name,author_id,author_distinct_topics,author_keyworks_count,rank,work_id,title,distinct_topics,refs_count,is_topic_keywork,categories
Fred Sanders,theo_1cc34e17dc6c,7,7,2,work_642f2a8284de,The Triune God,6,6,1,doctrine-of-the-trinity;pneumatology
Fred Sanders,theo_1cc34e17dc6c,7,7,3,work_0eec308e2943,Wesley on the Christian Life: The Heart Renewed in Love,4,4,0,doctrine-of-the-trinity
Fred Sanders,theo_1cc34e17dc6c,7,7,4,work_610d6a3cb811,"""The Trinity"" in The Oxford Handbook of Systematic Theology",2,2,0,doctrine-of-the-trinity;pneumatology
Fred Sanders,theo_1cc34e17dc6c,7,7,5,work_8a1e3da44855,"""Trinity Talk, Again: Why We Should Stick to One Being, Three Persons"" (online articles and lectures)",2,2,0,doctrine-of-the-trinity
John Webster,theo_f247e3141ea4,7,6,1,work_150bc827a90c,Holiness (2003),5,5,0,anthropology-&-doctrine-of-creation;bibliology;theology-proper
John Webster,theo_f247e3141ea4,7,6,2,work_78308584eeef,Confessing God: Essays in Christian Dogmatics II,4,4,0,bibliology
John Webster,theo_f247e3141ea4,7,6,3,work_748cd07eddd5,The Domain of the Word: Scripture and Theological Reason (2012),4,4,1,bibliology
John Webster,theo_f247e3141ea4,7,6,4,work_0e30363c9067,Holy Scripture: A Dogmatic Sketch (2003),3,3,1,bibliology
John Webster,theo_f247e3141ea4,7,6,5,work_a01a1e64ae57,"God Without Measure: Working Papers in Christian Theology, Vols. 1 & 2",2,2,1,bibliology;theology-proper
Thomas F. Torrance,theo_eeaa72b8f356,7,5,1,work_6678feee67a6,"Space, Time and Incarnation (1969)",6,6,0,christology;doctrine-of-sin;doctrine-of-the-trinity;pneumatology
Thomas F. Torrance,theo_eeaa72b8f356,7,5,2,work_6c74d7e6e9a9,"Atonement: The Person and Work of Christ (2009, posthumous)",5,5,0,christology;doctrine-of-sin;ecclesiology-&-sacraments;pneumatology
Thomas F. Torrance,theo_eeaa72b8f356,7,5,3,work_49b7e746f7b0,Incarnation: The Person and Life of Christ,5,5,1,christology;doctrine-of-sin;pneumatology
Thomas F. Torrance,theo_eeaa72b8f356,7,5,4,work_d055a4146592,The Christian Doctrine of God: One Being Three Persons (1996),5,5,1,christology;doctrine-of-the-trinity;ecclesiology-&-sacraments;pneumatology
Thomas F. Torrance,theo_eeaa72b8f356,7,5,5,work_a3d447bf29e8,The Trinitarian Faith: The Evangelical Theology of the Ancient Catholic Church,5,5,0,christology;doctrine-of-the-trinity;ecclesiology-&-sacraments;pneumatology
George Eldon Ladd,theo_602211ff3feb,7,1,1,work_51ae16c2bf3b,The Gospel of the Kingdom: Scriptural Studies in the Kingdom of God,7,7,0,christology;ecclesiology-&-sacraments;eschatology
George Eldon Ladd,theo_602211ff3feb,7,1,2,work_f16c96be5523,The Presence of the Future,7,7,1,christology;ecclesiology-&-sacraments;eschatology
George Eldon Ladd,theo_602211ff3feb,7,1,3,work_2c93e455e428,A Theology of the New Testament (1974),6,6,0,christology;ecclesiology-&-sacraments;eschatology
George Eldon Ladd,theo_602211ff3feb,7,1,4,work_66136365a5a1,Jesus and the Kingdom (1966),6,6,0,christology;ecclesiology-&-sacraments;eschatology
George Eldon Ladd,theo_602211ff3feb,7,1,5,work_209f3917c545,The Blessed Hope: A Biblical Study of Christian Eschatology,4,4,0,eschatology
Jonathan Edwards,theo_52c85aceaf14,7,1,1,work_5e903d6c9e11,Freedom of the Will (1754),7,7,1,doctrine-of-sin;theology-proper
Jonathan Edwards,theo_52c85aceaf14,7,1,2,work_e92878d7ee2b,Original Sin (1758),7,7,0,doctrine-of-sin;theology-proper
Jonathan Edwards,theo_52c85aceaf14,7,1,3,work_7c0baaa9c11c,Miscellanies (notebooks),4,4,0,doctrine-of-sin;theology-proper
Jonathan Edwards,theo_52c85aceaf14,7,1,4,work_0f5f9954f8ee,"The Works of Jonathan Edwards (Yale Edition, vols. 1, 3, 21)",4,4,0,doctrine-of-sin;theology-proper
Jonathan Edwards,theo_52c85aceaf14,7,1,5,work_1b690a021215,The End for Which God Created the World,3,3,0,theology-proper
Oscar Cullmann,theo_449e30a58c98,7,1,1,work_d04ee03890ac,Christ and Time: The Primitive Christian Conception of Time and History,7,7,1,anthropology-&-doctrine-of-creation;christology;eschatology;soteriology
Oscar Cullmann,theo_449e30a58c98,7,1,2,work_82c68ed25f80,Salvation in History,7,7,0,anthropology-&-doctrine-of-creation;christology;eschatology;soteriology
Oscar Cullmann,theo_449e30a58c98,7,1,3,work_ea0f559ade8f,The Christology of the New Testament,7,7,0,anthropology-&-doctrine-of-creation;christology;eschatology;soteriology
Oscar Cullmann,theo_449e30a58c98,7,1,4,work_ee222ff5eec0,Immortality of the Soul or Resurrection of the Dead? The Witness of the New Testament,5,5,0,anthropology-&-doctrine-of-creation;eschatology
Oscar Cullmann,theo_449e30a58c98,7,1,5,work_884246657066,Early Christian Worship,3,3,0,anthropology-&-doctrine-of-creation;christology;soteriology
Patrick Fairbairn,theo_3a9d2c132afb,7,0,1,work_81dfec354423,"The Typology of Scripture (1845, revised 1854)",7,7,0,christology;covenant-theology;eschatology
Patrick Fairbairn,theo_3a9d2c132afb,7,0,2,work_5223bac2d81f,The Revelation of Law in Scripture (1869),6,6,0,christology;covenant-theology
Patrick Fairbairn,theo_3a9d2c132afb,7,0,3,work_d41251b6dfe9,Pastoral Epistles: The Greek Text and Translation (1874),5,5,0,christology;covenant-theology;eschatology
Patrick Fairbairn,theo_3a9d2c132afb,7,0,4,work_484fffd171b3,Pastoral Theology: A Treatise on the Office and Duties of the Christian Pastor (1875),2,2,0,covenant-theology
Patrick Fairbairn,theo_3a9d2c132afb,7,0,5,work_614b5917ad3a,"Prophecy: Viewed in Respect to Its Distinctive Nature, Its Special Function, and Proper Interpretation (1866)",2,2,0,covenant-theology;eschatology
Sam Storms,theo_cb2ddab434cf,6,5,1,work_d8bd9ff84f91,Kingdom Come: The Amillennial Alternative,3,3,1,eschatology
Sam Storms,theo_cb2ddab434cf,6,5,2,work_cc55a7825b32,Practicing the Power: Welcoming the Gifts of the Holy Spirit in Your Life,3,3,1,pneumatology
Sam Storms,theo_cb2ddab434cf,6,5,3,work_eeaa01988243,The Beginner’s Guide to Spiritual Gifts,3,3,1,pneumatology
Sam Storms,theo_cb2ddab434cf,6,5,4,work_c9aac55459cf,Tough Topics: Biblical Answers to 25 Challenging Questions,3,3,0,eschatology
Sam Storms,theo_cb2ddab434cf,6,5,5,work_1e3e55b35dd1,Convergence: Spiritual Journeys of a Charismatic Calvinist,2,2,0,pneumatology
Anselm of Canterbury,theo_b9515ffe8f41,6,0,1,work_8365297fc281,Monologion,6,6,0,christology;doctrine-of-the-trinity;theology-proper
Anselm of Canterbury,theo_b9515ffe8f41,6,0,2,work_4dd0e18847a6,Proslogion,6,6,0,christology;doctrine-of-the-trinity;theology-proper
Anselm of Canterbury,theo_b9515ffe8f41,6,0,3,work_45d82c03e59a,Cur Deus Homo,5,5,0,christology;doctrine-of-the-trinity
Anselm of Canterbury,theo_b9515ffe8f41,6,0,4,work_71f7e23248eb,Anselm of Canterbury: The Major Works (ed. Brian Davies & G.R. Evans),4,4,0,christology;theology-proper
Anselm of Canterbury,theo_b9515ffe8f41,6,0,5,work_e7568ffcfa6b,De Incarnatione Verbi (On the Incarnation of the Word),3,3,0,christology
Peter Martyr Vermigli,theo_1a0567e316f5,6,0,1,work_e83023bb9c5e,Loci Communes (Common Places),6,6,0,ecclesiology-&-sacraments;soteriology;theology-proper
Peter Martyr Vermigli,theo_1a0567e316f5,6,0,2,work_f2e1b6f58912,Dialogue on the Two Natures in Christ,4,4,0,ecclesiology-&-sacraments;soteriology
Peter Martyr Vermigli,theo_1a0567e316f5,6,0,3,work_30a6992ba8c4,Peter Martyr Vermigli and the European Reformations: Semper Reformanda (ed. Frank A. James III),4,4,0,ecclesiology-&-sacraments;theology-proper
Peter Martyr Vermigli,theo_1a0567e316f5,6,0,4,work_e9f31172d06c,The Oxford Treatise and Disputations,4,4,0,ecclesiology-&-sacraments;theology-proper
Peter Martyr Vermigli,theo_1a0567e316f5,6,0,5,work_553f1223c580,Commentary on 1 Corinthians (especially on chapter 11),2,2,0,ecclesiology-&-sacraments;soteriology
Stephen Wellum,theo_36e05d3dea37,5,6,1,work_4cbd018ac42f,"Kingdom through Covenant: A Biblical-Theological Understanding of the Covenants (with Peter J. Gentry, 2012)",4,4,0,bibliology;covenant-theology
Stephen Wellum,theo_36e05d3dea37,5,6,2,work_3f0a2db6893a,"Progressive Covenantalism: Charting a Course Between Dispensational and Covenant Theologies (editor, 2016)",4,4,1,bibliology;covenant-theology
Stephen Wellum,theo_36e05d3dea37,5,6,3,work_20397275c124,"Baptism and the Relationship between the Covenants"" (SBJT 14.1, 2010)",3,3,1,covenant-theology
Stephen Wellum,theo_36e05d3dea37,5,6,4,work_3159771be4f9,Christ Alone: The Uniqueness of Jesus as Savior (2017),2,2,1,bibliology;christology
Stephen Wellum,theo_36e05d3dea37,5,6,5,work_bd01414693e5,God the Son Incarnate: The Doctrine of Christ (2016),2,2,1,christology;covenant-theology
William Lane Craig,theo_329340f1ba61,5,6,1,work_cbae974c3204,"Reasonable Faith: Christian Truth and Apologetics (3rd ed., 2008)",3,3,1,anthropology-&-doctrine-of-creation;theology-proper
William Lane Craig,theo_329340f1ba61,5,6,2,work_6e59ac0a4fc9,In Quest of the Historical Adam: A Biblical and Scientific Exploration (2021),2,2,1,anthropology-&-doctrine-of-creation
William Lane Craig,theo_329340f1ba61,5,6,3,work_7dd6a8d0adf3,Philosophical Foundations for a Christian Worldview (with J.P. Moreland),2,2,0,theology-proper
William Lane Craig,theo_329340f1ba61,5,6,4,work_efde0c31fca3,The Kalam Cosmological Argument,2,2,0,anthropology-&-doctrine-of-creation;theology-proper
William Lane Craig,theo_329340f1ba61,5,6,5,work_8095ed115a54,The Only Wise God: The Compatibility of Divine Foreknowledge and Human Freedom,2,2,1,theology-proper
Peter J. Leithart,theo_db4c242e157e,5,5,1,work_0e5c45af341d,Delivered from the Elements of the World (2016),4,4,1,covenant-theology;ecclesiology-&-sacraments;soteriology
Peter J. Leithart,theo_db4c242e157e,5,5,2,work_7220af9c408f,The Baptized Body (2007),4,4,1,covenant-theology;ecclesiology-&-sacraments;soteriology
Peter J. Leithart,theo_db4c242e157e,5,5,3,work_093a7305c0cf,The Kingdom and the Power: Rediscovering the Centrality of the Church (1993),4,4,1,covenant-theology;ecclesiology-&-sacraments
Peter J. Leithart,theo_db4c242e157e,5,5,4,work_91dbbdfcacaa,Against Christianity (2003),3,3,0,covenant-theology;ecclesiology-&-sacraments
Peter J. Leithart,theo_db4c242e157e,5,5,5,work_298b412c00f0,The End of Protestantism: Pursuing Unity in a Fragmented Church (2016),2,2,1,ecclesiology-&-sacraments
Alvin Plantinga,theo_53cc9f912144,5,3,1,work_aa1a8f806e04,The Nature of Necessity (1974),4,4,0,theology-proper
Alvin Plantinga,theo_53cc9f912144,5,3,2,work_6567eb3b7d3f,"""Self-Profile"" in Alvin Plantinga (ed. Tomberlin & van Inwagen, 1985)",3,3,0,theology-proper
Alvin Plantinga,theo_53cc9f912144,5,3,3,work_4bd6d1f421e1,"God, Freedom, and Evil",3,3,1,theology-proper
Alvin Plantinga,theo_53cc9f912144,5,3,4,work_41977a767815,"""On Ockham’s Way Out"" (Faith and Philosophy, 1986)",2,2,0,theology-proper
Alvin Plantinga,theo_53cc9f912144,5,3,5,work_6d816e70aa8b,God and Other Minds (1967),2,2,0,bibliology;theology-proper
Peter J. Gentry,theo_3907f7b67a12,5,3,1,work_8a26b181753d,Kingdom through Covenant: A Biblical-Theological Understanding of the Covenants (with Stephen J. Wellum),5,5,1,covenant-theology
Peter J. Gentry,theo_3907f7b67a12,5,3,2,work_8bea39c371f5,"“No One Holy Like the Lord: On the Meaning of Holiness in the Old Testament” (in Tyndale Bulletin 49.1, 1998)",4,4,0,covenant-theology
Peter J. Gentry,theo_3907f7b67a12,5,3,3,work_2c223288264d,"“The Covenant of Creation” (in SBJT 12.2, 2008)",3,3,0,covenant-theology
Peter J. Gentry,theo_3907f7b67a12,5,3,4,work_e7c71d17d835,"""The Significance of Covenants in Biblical Theology"" (Tyndale Bulletin, 2012)",2,2,0,covenant-theology
Peter J. Gentry,theo_3907f7b67a12,5,3,5,work_b76c88186c7c,God’s Kingdom through God’s Covenants: A Concise Biblical Theology (with Stephen J. Wellum),2,2,1,covenant-theology
Richard Bauckham,theo_82f275e77587,5,3,1,work_ba4158d07b4c,The Theology of the Book of Revelation (1993),5,5,1,doctrine-of-the-trinity;eschatology
Richard Bauckham,theo_82f275e77587,5,3,2,work_9e60f94f176b,Jesus and the Eyewitnesses (2006),4,4,1,eschatology
Richard Bauckham,theo_82f275e77587,5,3,3,work_564d4d1dadda,The Bible and Ecology: Rediscovering the Community of Creation (2010),2,2,0,eschatology
Richard Bauckham,theo_82f275e77587,5,3,4,work_3676cc0483fc,"""Biblical Theology and the Problems of Monotheism"" (in The Jewish World Around the New Testament)",1,1,0,doctrine-of-the-trinity
Richard Bauckham,theo_82f275e77587,5,3,5,work_71227b6ec663,"""Living with Other Creatures: Green Exegesis and Theology"" (2011)",1,1,0,eschatology
Peter A. Lillback,theo_cf2f4adad47b,5,1,1,work_90cf824ce3dd,The Binding of God: Calvin’s Role in the Development of Covenant Theology,5,5,1,covenant-theology;theology-proper
Peter A. Lillback,theo_cf2f4adad47b,5,1,2,work_2870fc1c637a,"""The Continuing Conundrum: Calvin and the Conditionality of the Covenant"" (in Drawn into Controversie)",2,2,0,covenant-theology
Peter A. Lillback,theo_cf2f4adad47b,5,1,3,work_7d1bbbd7427d,"""The Covenant of Grace in Reformed Theology"" (various essays and lectures)",2,2,0,covenant-theology
Peter A. Lillback,theo_cf2f4adad47b,5,1,4,work_fb3eff6dcf21,"The Westminster Confession into the 21st Century (editor, multi-volume)",2,2,0,covenant-theology
Peter A. Lillback,theo_cf2f4adad47b,5,1,5,work_e53f404d1d3b,"""The Attributes of God"" (in Solid Ground: The Inerrant Word of God in an Errant World)",1,1,0,theology-proper
Peter J. Gentry,Stephen J. Wellum,5,1,1,work_8a26b181753d,Kingdom through Covenant: A Biblical-Theological Understanding of the Covenants (with Stephen J. Wellum),5,5,1,covenant-theology
Guy Prentiss Waters,theo_6d606eaa0755,4,4,1,work_ca353b931845,How Jesus Runs the Church,4,4,1,covenant-theology;ecclesiology-&-sacraments;soteriology
Guy Prentiss Waters,theo_6d606eaa0755,4,4,2,work_f2e227b82644,Justification and the New Perspectives on Paul: A Review and Response,4,4,1,covenant-theology;ecclesiology-&-sacraments;soteriology
Guy Prentiss Waters,theo_6d606eaa0755,4,4,3,work_2498d2132e90,By Faith Alone: Answering the Challenges to the Doctrine of Justification (contributor),2,2,0,covenant-theology;soteriology
Guy Prentiss Waters,theo_6d606eaa0755,4,4,4,work_71933e8e50a1,The Federal Vision and Covenant Theology: A Comparative Analysis,2,2,1,covenant-theology;soteriology
Guy Prentiss Waters,theo_6d606eaa0755,4,4,5,work_db0f1bb3f2d0,"""Justification"" entry in Reformation Study Bible (2015)",1,1,0,soteriology
Henri Blocher,theo_14fdb72b1032,4,4,1,work_699e094102d3,In the Beginning: The Opening Chapters of Genesis,4,4,1,bibliology;doctrine-of-sin
Henri Blocher,theo_14fdb72b1032,4,4,2,work_40b323c333c6,Original Sin: Illuminating the Riddle,4,4,1,bibliology;doctrine-of-sin
Henri Blocher,theo_14fdb72b1032,4,4,3,work_44d88c6c843b,Evil and the Cross: An Analytical Look at the Problem of Pain,3,3,1,bibliology;doctrine-of-sin
Henri Blocher,theo_14fdb72b1032,4,4,4,work_da57db41accf,"""Agnus Victor: The Atonement as Victory and Vicarious Punishment"" (in What Does It Mean to Be Saved?)",1,1,0,doctrine-of-sin
Henri Blocher,theo_14fdb72b1032,4,4,5,work_78da3360561c,"""Evil and the Cross: Christian Thought and the Problem of Evil""",1,1,0,doctrine-of-sin
John H. Walton,theo_59a7835435c2,4,3,1,work_ced66c8a9b76,The Lost World of Genesis One: Ancient Cosmology and the Origins Debate (2009),4,4,1,anthropology-&-doctrine-of-creation;covenant-theology;doctrine-of-sin
John H. Walton,theo_59a7835435c2,4,3,2,work_9768ec703a5f,Ancient Near Eastern Thought and the Old Testament (2006),3,3,0,anthropology-&-doctrine-of-creation;covenant-theology;doctrine-of-sin
John H. Walton,theo_59a7835435c2,4,3,3,work_f30334681255,"Genesis (NIV Application Commentary, 2001)",3,3,0,anthropology-&-doctrine-of-creation;doctrine-of-sin
John H. Walton,theo_59a7835435c2,4,3,4,work_0e795a419cfa,The Lost World of Adam and Eve: Genesis 2–3 and the Human Origins Debate (2015),3,3,1,anthropology-&-doctrine-of-creation;doctrine-of-sin
John H. Walton,theo_59a7835435c2,4,3,5,work_b762762b6f13,"The Lost World of Scripture: Ancient Literary Culture and Biblical Authority (with D. Brent Sandy, 2013)",3,3,0,anthropology-&-doctrine-of-creation;covenant-theology;doctrine-of-sin
Peter Enns,theo_83c30089ae5d,4,3,1,work_eaaecd334e10,Inspiration and Incarnation: Evangelicals and the Problem of the Old Testament (2005),4,4,1,anthropology-&-doctrine-of-creation;bibliology
Peter Enns,theo_83c30089ae5d,4,3,2,work_bcc72ab35ae6,The Evolution of Adam: What the Bible Does and Doesn’t Say about Human Origins (2012),4,4,1,anthropology-&-doctrine-of-creation;bibliology
Peter Enns,theo_83c30089ae5d,4,3,3,work_074cdb9eb356,How the Bible Actually Works (2019),3,3,0,anthropology-&-doctrine-of-creation;bibliology
Peter Enns,theo_83c30089ae5d,4,3,4,work_2b4eee070dfb,The Bible Tells Me So: Why Defending Scripture Has Made Us Unable to Read It (2014),3,3,0,anthropology-&-doctrine-of-creation;bibliology
Peter Enns,theo_83c30089ae5d,4,3,5,work_426493ac6d7c,"""Accommodation and Incarnation: The Divine and Human in Scripture"" (various essays/interviews)",1,1,0,bibliology
Lane Tipton,theo_22ef9458fcfb,4,2,1,work_a3b161d00b5b,"""The Trinitarian Theology of Cornelius Van Til"" (in *Reformed Forum*, 2014)",3,3,1,doctrine-of-the-trinity
Lane Tipton,theo_22ef9458fcfb,4,2,2,work_54001103c3a7,"""The Function of Perichoresis and the Divine Incomprehensibility"" (WTJ, 2014)",2,2,0,doctrine-of-the-trinity
Lane Tipton,theo_22ef9458fcfb,4,2,3,work_68eb073f1c59,"""The Gospel and Redemptive-Historical Hermeneutics"" in Confident of Better Things (2011)",2,2,0,doctrine-of-the-trinity;theology-proper
Lane Tipton,theo_22ef9458fcfb,4,2,4,work_e357fba977b9,Foundations of Covenant Theology (2016),2,2,1,doctrine-of-the-trinity;theology-proper
Lane Tipton,theo_22ef9458fcfb,4,2,5,work_9d2ba3e57c83,"""The Function of Adam’s Sonship in Paul’s Theology"" (WTJ, 2009)",1,1,0,theology-proper
Donald Macleod,theo_a8d636a590df,4,1,1,work_e251842c221e,A Faith to Live By: Understanding Christian Doctrine,4,4,0,christology
Donald Macleod,theo_a8d636a590df,4,1,2,work_75bf03294db3,Jesus is Lord: Christology Yesterday and Today,4,4,0,christology
Donald Macleod,theo_a8d636a590df,4,1,3,work_c75d12836a07,The Person of Christ,3,3,1,christology
Donald Macleod,theo_a8d636a590df,4,1,4,work_879d0821383d,Christ Crucified: Understanding the Atonement (2014),2,2,0,christology
Donald Macleod,theo_a8d636a590df,4,1,5,work_a9bf0170c3cc,"""Kenotic Christology: A Survey and Critique"" (in various theological journals)",1,1,0,christology
Stephen Wellum,Brent E. Parker,4,1,1,work_3f0a2db6893a,"Progressive Covenantalism: Charting a Course Between Dispensational and Covenant Theologies (editor, 2016)",4,4,1,bibliology;covenant-theology
Cyril of Alexandria,theo_4783fa7ae4a1,4,0,1,work_3479fa737a57,Letters to Succensus,4,4,0,christology
Cyril of Alexandria,theo_4783fa7ae4a1,4,0,2,work_297ba0c1731c,On the Unity of Christ,4,4,0,christology
Cyril of Alexandria,theo_4783fa7ae4a1,4,0,3,work_d4cf1a208762,Third Letter to Nestorius,4,4,0,christology
Cyril of Alexandria,theo_4783fa7ae4a1,4,0,4,work_e6e45abe93b2,Scholia on the Incarnation of the Only-Begotten,2,2,0,christology
Cyril of Alexandria,theo_4783fa7ae4a1,4,0,5,work_ac064ec53fa7,The Twelve Anathemas (Against Nestorius),1,1,0,christology
John of Damascus,theo_905c6b50edbb,4,0,1,work_5ea910bb9959,Dialogue Against the Manicheans,4,4,0,christology;doctrine-of-the-trinity
John of Damascus,theo_905c6b50edbb,4,0,2,work_3470eb890976,Exposition of the Orthodox Faith (De Fide Orthodoxa),3,3,0,christology;doctrine-of-the-trinity
John of Damascus,theo_905c6b50edbb,4,0,3,work_2336c3df2571,On Heresies,3,3,0,christology
John of Damascus,theo_905c6b50edbb,4,0,4,work_c02366fa32c9,Homilies on the Nativity and the Transfiguration,2,2,0,christology
John of Damascus,theo_905c6b50edbb,4,0,5,work_779feda27e72,"""Exposition of the Orthodox Faith"" (De Fide Orthodoxa)",1,1,0,christology
Zacharias Ursinus,theo_6972ef3bdeb3,4,0,1,work_083b150de5bd,Commentary on the Heidelberg Catechism,4,4,0,christology;covenant-theology;ecclesiology-&-sacraments;soteriology
Zacharias Ursinus,theo_6972ef3bdeb3,4,0,2,work_9fdbeb3e9d4b,Selected Writings of Zacharias Ursinus (ed. Lyle D. Bierma),3,3,0,christology;covenant-theology;soteriology
Zacharias Ursinus,theo_6972ef3bdeb3,4,0,3,work_04cf24e6f264,The Sum of Christian Religion,3,3,0,christology;covenant-theology;soteriology
Zacharias Ursinus,theo_6972ef3bdeb3,4,0,4,work_311c3772ac3a,Heidelberg Catechism (1563),2,2,0,christology;ecclesiology-&-sacraments
Zacharias Ursinus,theo_6972ef3bdeb3,4,0,5,work_55efc7c8d026,Selected Sermons and Catechetical Lectures,1,1,0,ecclesiology-&-sacraments
Michael Allen,theo_d04d5e20087a,3,12,1,work_e252be83634f,Reformed Catholicity: The Promise of Retrieval for Theology and Biblical Interpretation (with Scott R. Swain),3,3,1,bibliology;doctrine-of-the-trinity;soteriology
Michael Allen,theo_d04d5e20087a,3,12,2,work_69b63240476f,"Sanctification (New Studies in Dogmatics, 2017)",3,3,1,bibliology;doctrine-of-the-trinity;soteriology
Michael Allen,theo_d04d5e20087a,3,12,3,work_6020a8bc2d97,Grounded in Heaven: Recentering Christian Hope and Life on God (2018),2,2,1,bibliology;soteriology
Michael Allen,theo_d04d5e20087a,3,12,4,work_a94b57cf5efe,Theological Commentary: Evangelical Perspectives (editor),2,2,1,bibliology;doctrine-of-the-trinity
Michael Allen,theo_d04d5e20087a,3,12,5,work_02d36e7557ec,"""Knowledge of God: Protestant Perspectives"" (in The Oxford Handbook of the Epistemology of Theology)",1,1,0,bibliology
Craig S. Keener,theo_1b2fdad3e936,3,7,1,work_b40219e785c9,Acts: An Exegetical Commentary (2012–2015),3,3,0,pneumatology
Craig S. Keener,theo_1b2fdad3e936,3,7,2,work_4886537ad293,Gift and Giver: The Holy Spirit for Today,3,3,1,pneumatology
Craig S. Keener,theo_1b2fdad3e936,3,7,3,work_a984f932a0f0,Miracles: The Credibility of the New Testament Accounts,3,3,1,pneumatology
Craig S. Keener,theo_1b2fdad3e936,3,7,4,work_773be975b051,Spirit Hermeneutics: Reading Scripture in Light of Pentecost,3,3,1,pneumatology
Craig S. Keener,theo_1b2fdad3e936,3,7,5,work_99ab83135fc6,"""A Pentecostal Approach to Reformed Theology"" in The Spirit and the Church: Essays Honoring Donald Gee (2003)",1,1,0,pneumatology
Joel R. Beeke,theo_b2caa42d06e1,3,4,1,work_4e36485f21cf,Living for God’s Glory: An Introduction to Calvinism,3,3,0,soteriology
Joel R. Beeke,theo_b2caa42d06e1,3,4,2,work_44b6af13c841,Puritan Reformed Spirituality,3,3,0,soteriology
Joel R. Beeke,theo_b2caa42d06e1,3,4,3,work_60cd17ea3cd2,"Reformed Systematic Theology, Vol. 2: Man and Christ",2,2,1,soteriology
Joel R. Beeke,theo_b2caa42d06e1,3,4,4,work_1e55879a3f9d,The Quest for Full Assurance: The Legacy of Calvin and His Successors,2,2,1,soteriology
Joel R. Beeke,theo_b2caa42d06e1,3,4,5,work_5d1c161f00b1,A Puritan Theology: Doctrine for Life (with Mark Jones),1,1,0,soteriology
Gordon D. Fee,theo_6c80a418d7d3,3,3,1,work_a262a111cfaa,God’s Empowering Presence: The Holy Spirit in the Letters of Paul,3,3,0,pneumatology
Gordon D. Fee,theo_6c80a418d7d3,3,3,2,work_2bb56da87477,"Paul, the Spirit, and the People of God",3,3,1,pneumatology
Gordon D. Fee,theo_6c80a418d7d3,3,3,3,work_9abc7952411b,Listening to the Spirit in the Text,2,2,0,pneumatology
Gordon D. Fee,theo_6c80a418d7d3,3,3,4,work_6f76a44f729f,"""Baptism in the Holy Spirit: The Issue of Separability and Subsequence"" (in Pneuma, 1985)",1,1,0,pneumatology
Gordon D. Fee,theo_6c80a418d7d3,3,3,5,work_5352af32eb62,"""The Holy Spirit and the Life of Jesus"" (in The Holy Spirit and Christian Origins, ed. Graham N. Stanton et al.)",1,1,0,pneumatology
K. Scott Oliphint,theo_36708a47db3b,3,3,1,work_7994551c0a93,Covenantal Apologetics: Principles and Practice in Defense of Our Faith (2013),3,3,1,bibliology;doctrine-of-the-trinity;theology-proper
K. Scott Oliphint,theo_36708a47db3b,3,3,2,work_50f48980626d,Reasons for Faith: Philosophy in the Service of Theology (2006),3,3,1,bibliology;doctrine-of-the-trinity;theology-proper
K. Scott Oliphint,theo_36708a47db3b,3,3,3,work_383030c600e0,"""The Consistency of Van Til’s Methodology"" (Westminster Theological Journal)",2,2,0,bibliology;doctrine-of-the-trinity
K. Scott Oliphint,theo_36708a47db3b,3,3,4,work_633c2cd57b33,God with Us: Divine Condescension and the Attributes of God (2012),2,2,1,bibliology;theology-proper
K. Scott Oliphint,theo_36708a47db3b,3,3,5,work_658aacc48181,"""Simplicity, Triunity, and the Attributes of God"" in The Doctrine of God: A Global Introduction (contributor)",1,1,0,theology-proper
Michael Allen,Scott R. Swain,3,3,1,work_e252be83634f,Reformed Catholicity: The Promise of Retrieval for Theology and Biblical Interpretation (with Scott R. Swain),3,3,1,bibliology;doctrine-of-the-trinity;soteriology
Michael Allen,Scott R. Swain,3,3,2,work_08823315cc21,'Christian Dogmatics: Reformed Theology for the Church Catholic' (2016),0,0,1,
Michael Allen,Scott R. Swain,3,3,3,work_5d90d4842717,Retrieving Eternal Generation,0,0,1,
C. John Collins,theo_84baa215ced7,3,2,1,work_88575a7d5b0c,Did Adam and Eve Really Exist? Who They Were and Why You Should Care (2011),3,3,1,anthropology-&-doctrine-of-creation
C. John Collins,theo_84baa215ced7,3,2,2,work_fbcbdae10cbd,"Genesis 1–4: A Linguistic, Literary, and Theological Commentary (2006)",3,3,1,anthropology-&-doctrine-of-creation
C. John Collins,theo_84baa215ced7,3,2,3,work_ce92fd77a3b2,"Reading Genesis Well: Navigating History, Poetry, Science, and Truth in Genesis 1–11 (2018)",3,3,0,anthropology-&-doctrine-of-creation
C. John Collins,theo_84baa215ced7,3,2,4,work_cc96734d2555,Science and Faith: Friends or Foes? (2003),3,3,0,anthropology-&-doctrine-of-creation
C. John Collins,theo_84baa215ced7,3,2,5,work_fe48ba58937a,"Four Views on the Historical Adam (contributor, 2013)",2,2,0,anthropology-&-doctrine-of-creation
Craig A. Blaising,theo_984a157c28a3,3,2,1,work_5892dc7a3fd5,Progressive Dispensationalism (with Darrell L. Bock),3,3,1,covenant-theology;eschatology
Craig A. Blaising,theo_984a157c28a3,3,2,2,work_5e5424a7e855,Three Views on the Millennium and Beyond,0,0,1,
